0,0,16
0,0,16
0.083333,0.44444,144
0,0,240
0,0,16
0,0,16
0.16667,0.18182,176
0,0,48
0,0,16
0,0,240
0.625,0.61538,208
0,0,240
0,0,16
0,0,16
0,0,16
0,0,16
0,0,112
0,0,48
0,0,112
0,0,16
0,0,16
0,0,16
0,0,16
0.066667,0.76923,208
0.33333,0.28571,112
0,0,16
0.083333,0.8,80
0,0,16
0.066667,0.76923,208
0.66667,0.66667,48
0,0,48
0,0,176
0,0,80
0,0,16
0.066667,0.76923,208
0.83333,0.28571,112
0.16667,0.26667,240
0,0,16
0,0,16
0.055556,0.54545,176
0,0.28571,112
0,0,16
0,0,16
0,0,112
0.16667,0.28571,112
0,0.4,80
0.58333,0.57143,112
0,0,80
0.66667,0.18182,176
0,0,208
0.5,0.66667,48
0,0,16
0,0,16
0,0.4,80
0,0,16
0,0,48
0,0,16
0,0,16
0.16667,0.46154,208
0.16667,0.28571,112
0,0,48
0,0,16
0,0,48
0.5,0.22222,144
0,0,16
0.16667,0.15385,208
0,0,16
0,0,16
0,0,16
0,0,144
0,0,16
0.83333,0.66667,48
0,0,16
0,0,16
0,0,16
0,0,80
0,0,16
0.16667,0.28571,112
0,0,208
0,0,16
0.16667,0.4,80
0,0,48
0,0,112
0,0,208
0,0,16
0,0,208
0,0,240
0,0,144
0,0,240
0.66667,0.76923,208
0.083333,0.44444,144
0,0,16
0.16667,0.22222,144
0.083333,0.88889,144
0.25,0.8,80
0,0,16
0.5,0.15385,208
0,0,144
0,0,16
0,0,16
0,0,16
0,0,16
0.16667,0.13333,240
0,0,240
0,0,48
0,0,16
0.66667,0.76923,208
0.25,0.8,80
0.11905,0.93333,240
0,0,16
0.16667,0.30769,208
0.66667,0.85714,112
0,0,208
0,0,144
0,0,16
0,0,16
0,0,112
0.58333,0.30769,208
0,0,240
0,0,48
0.083333,0.26667,240
0.083333,0.30769,208
0,0,16
0,0,16
0.16667,0.72727,176
0.083333,0.57143,112
0.083333,0.57143,112
0,0,208
0,0,16
0,0,208
0,0,16
0.16667,0.4,80
0.16667,0.36364,176
0,0.18182,176
0,0,16
0,0,240
0,0,16
0.58333,0.30769,208
0,0,16
0,0,176
0,0,16
0,0,16
0.16667,0.28571,112
0,0,16
0.66667,0.93333,240
0,0,240
0.33333,0.28571,112
0,0,80
0.16667,0.13333,240
0,0,48
0,0,48
0,0,16
0,0,208
0,0,112
0.33333,0.28571,112
0,0,208
0,0,16
0,0,48
0,0,16
0.16667,0.4,80
0.083333,0.57143,112
0,0,16
0,0,16
0.16667,0.18182,176
0.66667,0.85714,112
0,0,240
0.66667,0.4,80
0.6,0.90909,176
0,0,16
0,0,208
0,0,240
0,0,48
0,0,80
0,0,16
0,0,48
0,0,208
0,0.66667,48
0,0,16
0,0,80
0.5,0.4,80
0.66667,0.4,80
0.16667,0.13333,240
0,0,16
0,0,16
0,0,16
0,0,208
0,0,16
0,0,16
0,0.66667,48
0,0,16
0,0,16
0,0.66667,48
0,0,16
0,0,16
0.16667,0.13333,240
0,0.66667,48
0.083333,0.57143,112
0,0,16
0,0,16
0,0,16
0,0,240
0.083333,0.26667,240
0.66667,0.66667,48
0,0,48
0.66667,0.66667,48
0.1,0.90909,176
0.16667,0.28571,112
0,0,16
0.16667,0.28571,112
0,0,16
0,0.4,80
0,0,16
0,0,48
0,0,176
0,0,16
0.625,0.72727,176
0,0,16
0,0,16
0,0,240
0.083333,0.8,80
0,0,16
0,0,16
0.16667,0.15385,208
0,0,144
0,0,16
0,0,112
0,0,240
0.083333,0.57143,112
0,0,144
0,0,16
0,0,16
0,0,16
0.16667,0.22222,144
0,0,16
